Throttle,Power-Out,Voltage,Ripple,Current,Temperature,Speed,Gov.Gain,ECVoltage,MotorTemp.
1.8558,86.275,13.28,3.255,116.1,112.8,48727,0,5.33,0.00
1.8714,90.196,13.15,0.911,112.3,112.8,61496,0,5.33,0.00
1.8714,90.196,12.89,0.781,109.7,112.8,63209,0,5.29,0.00
1.5188,0.392,12.11,1.172,56.8,112.8,43440,0,5.33,0.00
1.5188,0.392,12.37,0.000,3.9,112.8,29334,0,5.33,0.00
1.5971,18.431,12.24,0.911,3.9,112.8,27006,0,5.33,0.00
1.7774,65.098,11.33,1.042,55.5,112.8,35141,0,5.33,0.00
1.8714,90.196,12.63,1.302,116.1,112.8,62628,0,5.33,0.00
1.5188,0.392,12.24,0.000,15.5,112.8,38305,0,5.33,0.00
1.5188,0.392,12.24,0.000,1.3,112.8,35323,0,5.33,0.00
1.5188,0.392,12.24,0.000,1.3,112.8,30292,0,5.33,0.00
1.5266,0.392,12.37,0.000,1.3,112.8,24422,0,5.33,0.00
1.6128,21.176,12.24,1.302,12.9,112.8,24335,0,5.33,0.00
1.6520,31.373,12.24,1.562,21.9,112.8,25714,0,5.33,0.00
1.6990,45.098,11.85,1.302,37.4,112.8,27590,0,5.33,0.00
1.7617,60.392,11.46,0.781,71.0,112.8,39567,0,5.33,0.00
1.7696,62.353,11.59,1.042,56.8,118.3,40997,0,5.33,0.00
1.8714,90.588,13.28,2.864,111.0,112.8,58333,0,5.29,0.00
1.8714,90.196,13.28,1.172,112.3,118.3,60945,0,5.29,0.00
1.5188,0.392,12.24,0.521,60.6,118.3,53728,0,5.33,0.00
1.5188,0.392,12.24,0.000,1.3,118.3,51688,0,5.29,0.00
1.2210,42.353,12.24,0.000,-2.6,118.3,45880,0,5.33,0.00
1.1818,50.588,12.24,0.000,-2.6,118.3,0,0,5.33,0.00
1.1818,50.588,12.24,0.000,-2.6,118.3,4209,0,5.33,0.00
1.5188,0.392,12.24,0.000,-2.6,118.3,24778,0,5.33,0.00
1.5188,0.392,12.24,0.000,-1.3,118.3,23387,0,5.33,0.00
1.5580,7.843,12.24,0.781,-1.3,118.3,21883,0,5.33,0.00
1.6128,21.176,12.24,1.432,9.0,118.3,22048,0,5.29,0.00
1.6677,36.078,12.11,1.562,28.4,118.3,25362,0,5.33,0.00
1.7147,49.020,11.85,1.042,43.9,118.3,32667,0,5.29,0.00
1.7774,64.706,11.72,1.302,64.5,118.3,40915,0,5.33,0.00
1.8166,74.902,11.85,1.823,86.5,118.3,47370,0,5.33,0.00
1.8636,88.627,12.76,2.344,112.3,118.3,59179,0,5.33,0.00
1.8714,90.196,13.15,2.213,103.2,118.3,63802,0,5.29,0.00
1.8087,74.902,12.63,1.562,91.6,118.3,66504,0,5.33,0.00
1.5188,0.392,12.24,0.000,14.2,118.3,51688,0,5.33,0.00
1.5188,0.392,12.24,0.000,1.3,118.3,46827,0,5.33,0.00
1.5188,0.392,12.24,0.000,0.0,118.3,42010,0,5.33,0.00
1.5501,5.098,12.24,0.260,1.3,118.3,38449,0,5.29,0.00
1.6207,23.137,12.24,1.172,6.5,118.3,38305,0,5.33,0.00
1.6442,30.196,12.24,1.172,19.4,118.3,39644,0,5.33,0.00
1.6520,32.941,12.24,1.172,21.9,118.3,40997,0,5.33,0.00
1.6677,37.255,12.11,0.651,24.5,118.3,42446,0,5.33,0.00
1.5188,0.392,12.24,0.521,19.4,118.3,41413,0,5.33,0.00
1.3934,8.627,12.24,0.000,1.3,118.3,39644,0,5.33,0.00
1.3620,14.510,12.24,0.000,-3.9,118.3,0,0,5.33,0.00
1.3385,19.216,12.24,0.000,-2.6,118.3,31076,0,5.33,0.00
1.4404,0.392,12.24,0.000,-2.6,123.8,26584,0,5.29,0.00
1.5188,0.392,12.24,0.000,-1.3,118.3,24248,0,5.33,0.00
1.5423,3.137,12.24,0.260,-2.6,123.8,19899,0,5.33,0.00
1.7852,67.059,11.98,1.302,71.0,118.3,39876,0,5.33,0.00
1.8714,90.196,13.15,1.172,112.3,118.3,62246,0,5.33,0.00
1.8714,90.196,12.50,2.344,104.5,123.8,64406,0,5.33,0.00
1.5266,0.392,12.11,0.651,54.2,123.8,54736,0,5.33,0.00
