Throttle,Power-Out,Voltage,Ripple,Current,Temperature,Speed,Gov.Gain,ECVoltage,MotorTemp.
1.5266,0.392,12.37,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,0,112.8,0,0,5.33,0
1.5109,0.392,12.37,0.651,3.9,112.8,4526,0,5.33,0
1.5109,0.392,12.37,0.651,3.9,112.8,4526,0,5.33,0
1.5109,0.392,12.37,0.651,3.9,112.8,4526,0,5.33,0
1.558,6.667,12.37,0.781,5.2,112.8,3600,0,5.33,0
1.5266,0.392,12.5,0,3.9,112.8,3058,0,5.33,0
1.5815,20.392,12.24,1.953,32.3,112.8,3407,0,5.33,0
1.5266,0.392,12.37,0,3.9,112.8,5475,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,4520,0,5.33,0
1.5188,0.392,12.37,0,1.3,112.8,4155,0,5.29,0
1.5188,0.392,12.37,0,1.3,112.8,3807,0,5.33,0
1.5188,0.392,12.37,0,1.3,112.8,0,0,5.33,0
1.5188,0.392,12.37,0,1.3,112.8,3190,0,5.33,0
1.5188,0.392,12.37,0,1.3,112.8,0,0,5.33,0
1.5188,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,0,0,5.29,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.29,0
1.5266,0.392,12.37,0,1.3,112.8,0,0,5.29,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.29,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,1.3,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.33,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.29,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.29,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.29,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.29,0
1.5266,0.392,12.5,0,0,112.8,0,0,5.29,0
1.6128,21.176,12.24,1.953,25.8,112.8,5211,0,5.33,0
1.5736,11.765,12.37,1.432,7.7,112.8,9155,0,5.33,0
1.5815,12.941,12.37,0.781,6.5,112.8,10311,0,5.33,0
1.605,18.039,12.37,1.172,6.5,112.8,10924,0,5.33,0
1.5971,18.039,12.37,1.432,9,112.8,13029,0,5.33,0
1.6755,38.431,12.11,1.823,28.4,112.8,15550,0,5.33,0
1.7304,52.549,11.46,1.302,64.5,112.8,28515,0,5.29,0
1.652,32.941,12.11,1.302,47.7,112.8,31703,0,5.29,0
1.6285,25.098,12.37,1.302,12.9,112.8,31218,0,5.29,0
1.6598,33.333,12.24,1.432,23.2,112.8,32667,0,5.33,0
1.7304,53.725,11.59,0.911,41.3,112.8,36329,0,5.33,0
1.8009,70.588,11.98,0.391,74.8,112.8,45170,0,5.33,0
1.6912,48.235,11.85,0.911,77.4,112.8,51427,0,5.33,0
1.5188,0.392,12.37,0,7.7,112.8,44773,0,5.33,0
1.315,23.529,12.37,0,-1.3,112.8,0,0,5.33,0
1.5109,0.392,12.37,0,-3.9,112.8,32877,0,5.33,0
1.5188,0.392,12.37,0,-2.6,112.8,30841,0,5.33,0
1.5188,0.392,12.37,0,-2.6,112.8,25681,0,5.33,0
1.5815,13.333,12.37,1.042,2.6,112.8,22144,0,5.33,0
1.5266,0.392,12.37,0,2.6,112.8,17847,0,5.33,0
1.5423,3.922,12.37,0.391,0,112.8,15988,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,14731,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,12906,0,5.33,0
1.6285,25.882,12.37,1.693,9,112.8,12784,0,5.33,0
1.6363,28.627,12.24,1.823,23.2,112.8,16887,0,5.29,0
1.6442,29.804,12.24,1.693,24.5,112.8,20175,0,5.29,0
1.6207,23.529,12.37,1.432,16.8,112.8,22585,0,5.33,0
1.6207,23.529,12.37,1.562,14.2,112.8,23685,0,5.33,0
1.5266,0,12.37,0.13,5.2,112.8,23823,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,22660,0,5.33,0
1.5188,0.392,12.37,0,1.3,112.8,19537,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,17465,0,5.33,0
1.5266,0.392,12.37,0,1.3,112.8,12729,0,5.33,0
1.5815,14.51,12.37,1.172,5.2,112.8,9193,0,5.29,0
1.605,18.824,12.37,1.302,7.7,112.8,7604,0,5.33,0
1.6207,23.137,12.37,1.562,18.1,118.3,10557,0,5.33,0
1.6363,27.451,12.24,1.693,19.4,112.8,14218,0,5.33,0
1.6598,33.333,12.24,1.823,28.4,118.3,18662,0,5.33,0
1.6912,41.961,11.98,1.302,37.4,112.8,23494,0,5.29,0
1.699,45.49,11.72,1.172,45.2,112.8,29762,0,5.33,0
1.5423,24.706,12.24,1.172,46.5,118.3,35080,0,5.29,0
1.5266,0.392,12.37,0,3.9,112.8,33252,0,5.33,0
1.5188,0.392,12.37,0,0,112.8,32001,0,5.33,0
1.5188,0.392,12.37,0,1.3,118.3,29250,0,5.33,0
1.5266,0.392,12.37,0,1.3,118.3,24105,0,5.33,0
1.6833,35.294,12.24,1.693,9,118.3,20728,0,5.33,0
1.6598,34.902,12.11,1.432,34.8,118.3,28878,0,5.33,0
1.6912,43.137,11.85,1.302,37.4,118.3,28045,0,5.33,0
1.6677,36.471,12.11,1.432,31,118.3,30656,0,5.33,0
1.6755,37.647,12.11,1.432,29.7,118.3,33090,0,5.29,0
1.6833,39.608,12.11,1.432,33.5,118.3,34429,0,5.33,0
1.6677,36.863,12.11,1.302,28.4,118.3,35882,0,5.29,0
1.6755,38.431,11.98,1.172,29.7,118.3,36008,0,5.33,0
1.6755,38.431,11.98,1.172,31,118.3,36008,0,5.33,0
1.6912,42.353,11.85,0,34.8,118.3,35569,0,5.33,0
1.6912,41.961,11.85,1.042,34.8,118.3,37462,0,5.33,0
1.6912,42.353,11.85,1.042,32.3,118.3,38963,0,5.29,0
1.7147,48.235,11.85,0.911,40,118.3,40429,0,5.33,0
1.7617,60.392,11.46,0.781,50.3,118.3,42624,0,5.33,0
1.8009,72.157,12.24,1.823,77.4,118.3,48727,0,5.33,0
1.5188,0.392,12.24,0,16.8,118.3,45675,0,5.33,0
1.5188,0.392,12.24,0,2.6,118.3,38963,0,5.33,0
1.2837,30.196,12.37,0,-1.3,118.3,0,0,5.33,0
1.2131,43.529,12.24,0,-2.6,118.3,6961,0,5.33,0
1.5188,0.392,12.37,0,-2.6,118.3,0,0,5.33,0
1.6442,30.196,10.81,2.734,50.3,118.3,5381,0,5.33,0
1.6207,23.137,11.98,2.083,46.5,118.3,5414,0,5.33,0
1.6207,23.529,11.98,2.083,45.2,118.3,4344,0,5.33,0
1.6207,23.137,12.11,1.953,38.7,118.3,4390,0,5.33,0
1.6207,23.137,12.11,1.953,29.7,118.3,6778,0,5.33,0
1.5971,17.647,12.24,1.172,14.2,118.3,10918,0,5.33,0
1.6128,21.569,12.24,1.432,12.9,118.3,11292,0,5.33,0
1.6285,26.667,12.24,1.693,23.2,123.8,15609,0,5.33,0
1.6755,38.039,11.85,1.693,33.5,123.8,19784,0,5.33,0
1.7069,45.49,11.59,1.172,47.7,123.8,25521,0,5.33,0
1.7304,53.725,11.46,1.172,59.4,123.8,32459,0,5.33,0
1.7774,64.706,11.2,1.042,69.7,123.8,38668,0,5.33,0
1.8009,71.373,12.5,1.953,86.5,123.8,45675,0,5.33,0
1.8636,87.059,13.41,3.255,108.4,123.8,54156,0,5.33,0
1.8558,87.059,12.89,2.083,100.6,123.8,67605,0,5.33,0
1.5188,0.392,12.24,0,7.7,123.8,54736,0,5.33,0
1.5188,0.392,12.24,0,1.3,123.8,51819,0,5.33,0
1.4482,0.392,12.24,0,1.3,123.8,47261,0,5.33,0
1.5188,0.392,12.24,0,1.3,123.8,41497,0,5.33,0
1.5188,0.392,12.24,0,1.3,123.8,38162,0,5.33,0
1.5266,0.392,12.24,0,1.3,123.8,35020,0,5.33,0
1.5501,5.49,12.24,0.26,5.2,123.8,33971,0,5.33,0
1.5344,0.392,12.24,0,2.6,123.8,30888,0,5.33,0
1.5815,12.941,12.24,0.911,6.5,123.8,26654,0,5.33,0
1.5266,0.392,12.24,0,3.9,123.8,20235,0,5.33,0
1.0878,68.235,12.24,0,1.3,129.3,16191,0,5.33,0
1.0878,68.235,12.24,0,0,123.8,0,0,5.33,0
1.5188,0.392,12.24,0,0,123.8,0,0,5.33,0
1.5188,0.392,12.24,0,0,123.8,3844,0,5.29,0
1.605,20.392,12.11,2.083,19.4,129.3,0,0,5.33,0
1.5815,13.725,12.24,1.823,12.9,129.3,7542,0,5.33,0
1.5815,14.118,12.24,1.562,10.3,129.3,8974,0,5.33,0
1.5815,14.118,12.24,1.172,9,129.3,9335,0,5.33,0
1.5893,14.902,12.24,1.172,7.7,129.3,9310,0,5.33,0
1.605,19.608,12.24,1.302,11.6,129.3,9969,0,5.33,0
1.6363,27.451,12.24,1.823,25.8,129.3,13666,0,5.33,0
