Throttle,Power-Out,Voltage,Ripple,Current,Temperature,Speed,Gov.Gain,ECVoltage,MotorTemp.
1.5893,15.294,12.11,1.953,15.5,151.2,2942,0,5.29,0.00
1.6207,24.706,11.98,1.823,18.1,151.2,6870,0,5.29,0.00
1.6833,40.784,11.85,1.562,47.7,151.2,19631,0,5.29,0.00
1.7225,50.588,11.46,0.260,78.7,151.2,41246,0,5.29,0.00
1.4953,0.392,11.98,0.000,6.5,151.2,24306,0,5.29,0.00
1.4953,0.392,12.11,0.000,3.9,151.2,22313,0,5.29,0.00
1.5501,3.922,12.11,0.260,3.9,151.2,19669,0,5.29,0.00
1.6050,18.824,12.11,1.432,11.6,151.2,19958,0,5.29,0.00
1.6677,36.078,11.85,1.432,27.1,151.2,21743,0,5.29,0.00
1.6912,42.353,11.72,1.302,41.3,151.2,26550,0,5.29,0.00
1.7304,52.941,11.46,1.042,54.2,151.2,32102,0,5.29,0.00
1.8244,76.863,12.63,2.734,90.3,151.2,44773,0,5.29,0.00
1.8479,84.314,12.63,1.302,98.1,151.2,63209,0,5.29,0.00
1.8636,87.451,13.28,2.864,105.8,151.2,58167,0,5.29,0.00
1.8714,89.804,13.15,0.911,109.7,151.2,63209,0,5.29,0.00
1.8714,89.804,12.89,2.213,101.9,151.2,65438,0,5.29,0.00
1.8714,89.804,12.37,1.953,82.6,151.2,67382,0,5.29,0.00
1.4874,0.392,11.98,0.651,45.2,151.2,65021,0,5.29,0.00
1.0878,68.235,11.98,0.000,0.0,151.2,16612,0,5.29,0.00
1.0878,68.235,11.98,0.000,0.0,151.2,0,0,5.29,0.00
1.0878,68.235,11.98,0.000,0.0,151.2,0,0,5.29,0.00
1.0878,68.235,11.98,0.000,0.0,151.2,6603,0,5.29,0.00
1.4874,0.392,11.98,0.000,0.0,151.2,6603,0,5.29,0.00
1.4874,0.392,11.98,0.000,0.0,151.2,0,0,5.29,0.00
1.6755,34.118,11.85,1.953,38.7,151.2,0,0,5.29,0.00
1.6755,38.039,11.85,1.693,21.9,151.2,8141,0,5.29,0.00
1.4953,0.392,11.98,0.000,36.1,151.2,13908,0,5.29,0.00
1.6442,30.196,11.98,1.693,19.4,151.2,13423,0,5.29,0.00
1.5815,13.725,11.98,1.042,7.7,151.2,13370,0,5.29,1.93
1.7696,63.922,11.46,1.432,76.1,151.2,29208,0,5.29,1.93
1.8714,90.196,13.02,2.734,123.9,151.2,59698,0,5.29,1.93
1.4953,0.392,11.98,0.000,32.3,151.2,31410,0,5.29,1.93
1.4953,0.392,11.98,0.000,3.9,151.2,29936,0,5.29,1.93
1.4953,0.392,11.98,0.000,3.9,156.7,28200,0,5.29,1.93
1.5501,5.490,11.98,0.260,3.9,151.2,26935,0,5.29,1.93
1.5736,10.588,11.98,0.781,5.2,151.2,25585,0,5.29,1.93
1.5658,9.804,11.98,0.521,5.2,156.7,23148,0,5.29,1.93
1.6128,21.961,11.98,1.432,11.6,156.7,22485,0,5.29,1.93
