# Note - 
# ESC - Mamba X (F583) Firmware - 2.02(Prodcution)
# Poles - 4
# Gear Ratio - 1
# KV - 0
# Graph Data - 11 Sessions - Saved Thursday, April 24, 2025
# Start Of Session - Sample Time: 0.200
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Number: 1
# Note - 
# Voltage Cutoff: 9.11
# Current Cutoff: ?
# Temperature Cutoff: 239.0
# Motor Temperature Cutoff: -459.4
# RX2 Mode: 0
# Throttle Cal Min: 2139
# Throttle Cal Mid: 3020
# Throttle Cal Max: 3901
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , BEC Voltage , Motor Temp. 
True        , True        , True        , True        , True        , True        , True        , True        , True        , True        
0.0000      , 0.000       , 0.00        , 0.000       , 0.0         , 24.9        , 0           , 0           , 0.00        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , 0.0         , 85.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , 0.0         , 85.3        , 0           , 0           , 5.33        , 0.00        
1.5188      , 0.392       , 12.50       , 0.000       , 0.0         , 85.3        , 0           , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.50       , 0.000       , 0.0         , 85.3        , 0           , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.50       , 0.000       , 0.0         , 85.3        , 0           , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.50       , 0.000       , 0.0         , 85.3        , 0           , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.50       , 0.000       , 0.0         , 85.3        , 0           , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.50       , 0.000       , 0.0         , 85.3        , 0           , 0           , 5.33        , 0.00        
1.6442      , 30.588      , 12.24       , 1.953       , 40.0        , 85.3        , 11522       , 0           , 5.33        , 0.00        
1.8401      , 81.569      , 13.02       , 2.864       , 98.1        , 85.3        , 39414       , 0           , 5.33        , 0.00        
1.8714      , 90.588      , 13.28       , 0.911       , 111.0       , 85.3        , 63209       , 0           , 5.33        , 0.00        
1.8714      , 90.588      , 13.28       , 2.604       , 105.8       , 85.3        , 64002       , 0           , 5.33        , 0.00        
1.5266      , 0.392       , 12.37       , 0.651       , 40.0        , 85.3        , 36920       , 0           , 5.33        , 0.00        
