Throttle,Power-Out,Voltage,Ripple,Current,Temperature,Speed,Gov.Gain,ECVoltage,MotorTemp.
1.8558,86.667,13.28,2.995,122.6,151.2,53168,0,5.33,1.93
1.8714,89.412,12.76,2.474,116.1,151.2,59524,0,5.29,1.93
1.8714,89.804,13.02,2.864,114.8,151.2,59179,0,5.33,1.93
1.8636,89.020,12.76,2.734,118.7,151.2,61128,0,5.29,1.93
1.8714,89.412,12.50,2.864,109.7,151.2,58838,0,5.29,1.93
1.8714,89.412,12.76,1.042,112.3,151.2,61682,0,5.29,1.93
1.7617,69.020,11.59,1.172,91.6,151.2,62246,0,5.29,1.93
1.0878,67.843,11.72,0.000,5.2,151.2,52620,0,5.29,1.93
1.0878,68.235,11.72,0.000,0.0,151.2,0,0,5.29,1.93
1.0878,67.843,11.59,0.000,0.0,151.2,0,0,5.29,1.93
1.4796,0.392,11.72,0.000,0.0,151.2,18004,0,5.29,1.93
1.4796,0.392,11.72,0.000,1.3,151.2,24929,0,5.29,1.93
1.4796,0.392,11.72,0.000,1.3,151.2,19207,0,5.29,1.93
1.4796,0.392,11.72,0.000,0.0,151.2,12673,0,5.29,1.93
1.5423,2.745,11.72,0.391,1.3,151.2,6949,0,5.29,1.93
1.5893,14.510,11.72,1.562,6.5,151.2,5777,0,5.29,1.93
1.6128,21.176,11.72,1.693,16.8,151.2,7232,0,5.29,1.93
1.6442,29.804,11.72,1.823,31.0,151.2,12031,0,5.29,1.93
1.6598,33.333,11.72,1.562,33.5,151.2,18427,0,5.29,1.93
1.6755,38.431,11.59,1.562,37.4,151.2,23658,0,5.29,1.93
1.7069,46.667,11.20,1.172,47.7,151.2,28960,0,5.29,1.93
1.7147,47.843,11.20,1.042,45.2,151.2,33252,0,5.29,1.93
1.7304,53.725,11.07,0.781,51.6,151.2,38741,0,5.29,1.93
1.7617,61.176,11.20,0.781,52.9,151.2,41923,0,5.29,1.93
1.7696,62.353,11.07,1.042,52.9,151.2,45880,0,5.29,1.93
1.7931,69.804,11.33,1.172,64.5,151.2,49435,0,5.29,1.93
1.8087,73.333,12.24,1.302,61.9,151.2,53307,0,5.33,1.93
1.8636,88.235,12.76,2.604,81.3,151.2,65229,0,5.29,1.93
1.8636,89.020,12.63,2.213,94.2,151.2,65229,0,5.29,1.93
1.4874,0.392,11.59,0.651,54.2,156.7,61311,0,5.29,1.93
1.0878,68.235,11.59,0.000,0.0,151.2,45777,0,5.29,1.93
1.0878,68.235,11.59,0.000,0.0,156.7,7368,0,5.29,1.93
1.0878,68.235,11.59,0.000,0.0,156.7,0,0,5.29,1.93
1.4874,0.392,11.59,0.000,0.0,156.7,8535,0,5.29,1.93
1.4796,0.392,11.59,0.000,0.0,156.7,25020,0,5.29,1.93
1.5501,5.098,11.59,0.391,1.3,156.7,21026,0,5.29,1.93
1.6050,20.000,11.72,1.302,7.7,156.7,17894,0,5.29,1.93
1.6442,30.588,11.59,1.693,20.6,156.7,18957,0,5.29,1.93
1.6833,40.392,11.46,1.432,40.0,156.7,22837,0,5.29,1.93
1.6285,27.059,11.72,1.432,23.2,156.7,24898,0,5.29,1.93
1.6207,23.529,11.59,1.172,18.1,156.7,26412,0,5.29,1.93
1.5815,12.549,11.59,0.391,7.7,156.7,25617,0,5.29,1.93
1.6050,18.824,11.72,1.042,9.0,156.7,25020,0,5.29,1.93
1.6050,20.000,11.72,1.042,12.9,156.7,28317,0,5.29,1.93
1.5815,12.941,11.59,0.911,10.3,156.7,24451,0,5.29,1.93
1.4796,0.392,11.72,0.000,3.9,156.7,21883,0,5.29,1.93
1.4796,0.392,11.59,0.000,3.9,156.7,19537,0,5.29,1.93
1.4796,0.392,11.72,0.000,5.2,156.7,17646,0,5.29,1.93
1.4796,0.392,11.59,0.000,5.2,156.7,16076,0,5.29,1.93
1.4874,0.392,11.72,0.000,5.2,156.7,15328,0,5.29,1.93
1.4874,0.392,11.72,0.000,5.2,156.7,14848,0,5.29,1.93
1.4874,0.392,11.72,0.000,3.9,156.7,14198,0,5.29,1.93
1.4874,0.392,11.72,0.000,5.2,156.7,13629,0,5.29,1.93
1.4796,0.392,11.72,0.000,5.2,156.7,13062,0,5.29,1.93
1.4796,0.392,11.72,0.000,5.2,156.7,12374,0,5.29,1.93
1.4874,0.392,11.72,0.000,3.9,156.7,11522,0,5.29,1.93
1.4874,0.392,11.72,0.000,5.2,156.7,10774,0,5.29,1.93
