Throttle,Power-Out,Voltage,Ripple,Current,Temperature,Speed,Gov.Gain,ECVoltage,MotorTemp.
1.8636,88.235,13.02,2.995,139.4,178.7,54300,0,5.25,1.93
1.8636,89.020,12.76,2.864,112.3,178.7,57838,0,5.29,1.93
1.8636,87.059,12.76,2.864,116.1,178.7,57350,0,5.25,1.93
1.8558,86.275,12.89,2.864,113.5,178.7,54884,0,5.29,1.93
1.8558,87.059,12.37,1.562,109.7,178.7,57190,0,5.29,1.93
1.8636,88.627,12.63,1.172,107.1,178.7,63014,0,5.29,1.93
1.8714,89.412,12.89,1.042,107.1,178.7,61311,0,5.29,1.93
1.8714,89.020,12.76,1.302,101.9,178.7,62246,0,5.29,1.93
1.0878,68.235,11.46,0.000,7.7,178.7,44001,0,5.25,1.93
1.0878,68.235,11.46,0.000,2.6,178.7,7194,0,5.29,1.93
1.0878,68.235,11.46,0.000,2.6,178.7,0,0,5.29,1.93
1.4796,14.118,11.46,0.000,2.6,178.7,0,0,5.29,1.93
1.4796,0.392,11.46,0.000,3.9,178.7,21743,0,5.29,1.93
1.4796,0.392,11.46,0.000,3.9,178.7,15851,0,5.25,1.93
1.5423,1.961,11.46,0.260,3.9,178.7,9906,0,5.25,1.93
1.5658,9.804,11.46,0.781,5.2,178.7,8099,0,5.29,1.93
1.6755,37.255,10.81,1.693,46.5,178.7,13776,0,5.29,1.93
1.7852,67.451,11.59,1.953,92.9,178.7,30794,0,5.29,1.93
1.8714,89.412,12.37,2.864,126.5,178.7,56556,0,5.25,1.93
1.8636,87.843,13.41,2.604,117.4,178.7,55936,0,5.25,1.93
1.8636,88.235,11.98,1.172,100.6,178.7,65438,0,5.25,1.93
1.8636,88.627,12.50,2.734,120.0,178.7,54736,0,5.25,1.93
1.8636,87.059,12.63,2.604,100.6,178.7,60226,0,5.25,1.93
1.8558,85.882,11.98,0.651,78.7,178.7,63209,0,5.29,1.93
1.8636,87.059,12.24,1.953,77.4,178.7,65860,0,5.25,1.93
1.8558,86.667,11.85,1.693,71.0,178.7,68283,0,5.29,22.42
1.8636,87.451,12.11,1.693,71.0,178.7,68056,0,5.25,1.93
1.0878,68.235,11.33,0.000,11.6,178.7,0,0,5.25,1.93
1.0878,68.235,11.33,0.000,3.9,178.7,0,0,5.25,1.93
1.4874,0.392,11.46,0.000,2.6,184.2,8269,0,5.25,1.93
1.4874,0.392,11.46,0.000,3.9,184.2,31170,0,5.29,1.93
1.5266,0.392,11.46,0.000,3.9,184.2,28796,0,5.29,1.93
1.5501,5.882,11.46,0.260,3.9,184.2,25844,0,5.25,1.93
1.6285,26.667,11.46,1.302,18.1,184.2,26276,0,5.25,1.93
1.6363,29.020,11.46,1.432,25.8,184.2,27042,0,5.25,1.93
1.6128,20.784,11.46,1.172,16.8,184.2,26412,0,5.29,1.93
1.6128,20.784,11.46,1.302,16.8,184.2,25942,0,5.25,1.93
1.6207,24.314,11.46,1.302,19.4,184.2,25681,0,5.29,1.93
1.6442,29.412,11.46,1.432,23.2,184.2,25975,0,5.25,1.93
1.6912,42.353,11.07,1.172,33.5,184.2,27816,0,5.25,1.93
1.8558,85.882,12.63,2.734,104.5,184.2,57190,0,5.29,1.93
1.7617,70.980,11.46,0.911,100.6,184.2,58838,0,5.29,1.93
1.0878,68.235,11.46,0.000,9.0,184.2,0,0,5.25,1.93
1.0878,68.235,11.46,0.000,3.9,184.2,0,0,5.25,1.93
1.0878,68.235,11.46,0.000,3.9,184.2,0,0,5.25,1.93
1.0878,68.235,11.46,0.000,3.9,184.2,5071,0,5.29,1.93
1.0878,68.235,11.46,0.000,3.9,184.2,0,0,5.25,1.93
1.0878,68.235,11.46,0.000,3.9,184.2,4602,0,5.29,1.93
1.8636,88.627,12.37,2.083,136.8,184.2,55936,0,5.25,1.93
1.8636,88.627,12.76,2.604,117.4,184.2,58333,0,5.25,1.93
1.8636,89.020,12.76,2.995,117.4,184.2,59179,0,5.25,1.93
1.8636,88.235,12.50,2.344,112.3,184.2,60226,0,5.25,1.93
1.8636,89.020,11.98,1.042,116.1,184.2,57350,0,5.25,1.93
1.8636,89.020,12.24,2.474,116.1,184.2,58002,0,5.25,1.93
1.8714,89.020,12.50,1.042,103.2,184.2,62821,0,5.29,1.93
1.1504,56.863,11.33,0.000,37.4,184.2,54012,0,5.25,1.93
1.0878,68.235,11.33,0.000,3.9,184.2,0,0,5.25,1.93
1.0878,68.235,11.33,0.000,3.9,184.2,0,0,5.25,1.93
1.0878,68.235,11.33,0.000,3.9,184.2,3873,0,5.25,1.93
1.4796,0.392,11.33,0.000,3.9,184.2,21424,0,5.25,1.93
1.4796,0.392,11.33,0.000,3.9,184.2,19352,0,5.25,1.93
1.5580,0.000,11.46,0.130,5.2,184.2,11912,0,5.29,1.93
1.6050,20.000,11.46,1.432,19.4,184.2,13344,0,5.25,1.93
1.6833,39.608,11.07,1.432,43.9,184.2,17229,0,5.25,1.93
1.7147,47.843,10.94,1.172,63.2,184.2,26276,0,5.25,1.93
1.6990,44.314,10.94,1.042,49.0,184.2,29208,0,5.25,1.93
1.8009,71.765,11.46,1.302,63.2,184.2,35882,0,5.29,1.93
1.8636,88.627,12.24,2.213,118.7,184.2,58167,0,5.25,1.93
1.8636,88.627,12.76,1.172,104.5,184.2,61128,0,5.29,1.93
1.8636,87.451,12.37,0.911,95.5,184.2,62821,0,5.29,1.93
1.8636,88.235,12.37,1.042,99.4,184.2,62246,0,5.29,1.93
1.8636,88.627,12.63,1.302,104.5,184.2,59873,0,5.25,1.93
1.8636,87.843,12.24,1.042,85.2,184.2,65648,0,5.25,1.93
1.8636,89.020,11.85,1.693,87.7,189.7,64815,0,5.25,1.93
1.8636,89.020,11.85,1.562,82.6,189.7,67382,0,5.25,1.93
1.1583,54.118,11.33,0.000,19.4,189.7,58669,0,5.25,1.93
1.0878,68.235,11.33,0.000,3.9,189.7,0,0,5.25,1.93
1.0878,68.627,11.33,0.000,3.9,189.7,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,5.2,189.7,34371,0,5.25,1.93
1.4796,0.392,11.33,0.000,3.9,189.7,35141,0,5.25,1.93
1.5266,0.392,11.33,0.000,5.2,189.7,30610,0,5.25,1.93
1.5815,13.333,11.33,0.651,7.7,189.7,26042,0,5.25,1.93
1.5893,15.686,11.33,0.911,10.3,189.7,22001,0,5.25,1.93
1.6363,29.020,11.46,1.562,20.6,189.7,20499,0,5.25,1.93
1.7617,60.784,10.94,0.651,55.5,189.7,39954,0,5.25,1.93
1.8636,88.627,12.63,2.474,107.1,189.7,60584,0,5.25,1.93
1.5344,0.784,11.33,0.130,23.2,189.7,33361,0,5.25,1.93
1.5658,9.020,11.33,0.391,9.0,189.7,25942,0,5.25,1.93
1.8636,87.451,12.89,1.432,116.1,189.7,48266,0,5.25,1.93
1.6990,65.490,11.20,0.521,96.8,189.7,53030,0,5.29,1.93
1.4012,7.451,11.33,0.000,10.3,189.7,35945,0,5.25,1.93
