Throttle,Power-Out,Voltage,Ripple,Current,Temperature,Speed,Gov.Gain,ECVoltage,MotorTemp.
1.8636,88.627,12.76,2.474,132.9,189.7,57350,0,5.25,1.93
1.8636,88.627,12.24,2.213,116.1,189.7,58167,0,5.25,1.93
1.8636,89.020,12.76,1.693,125.2,189.7,57838,0,5.25,1.93
1.8636,88.235,12.63,2.604,122.6,189.7,56090,0,5.25,22.42
1.8636,87.451,12.89,2.474,112.3,189.7,60764,0,5.25,1.93
1.8636,88.627,11.85,0.911,107.1,189.7,57674,0,5.25,1.93
1.8636,88.235,12.50,1.172,107.1,189.7,60226,0,5.29,1.93
1.8636,87.451,12.11,1.823,92.9,189.7,63603,0,5.25,22.42
1.5031,0.392,11.07,0.130,60.6,189.7,62628,0,5.25,1.93
1.0878,68.627,11.33,0.000,5.2,189.7,0,0,5.25,1.93
1.0878,68.627,11.33,0.000,3.9,189.7,0,0,5.25,1.93
1.0878,68.627,11.33,0.000,3.9,189.7,5074,0,5.25,1.93
1.4796,0.392,11.33,0.000,5.2,189.7,25877,0,5.25,1.93
1.4796,0.392,11.33,0.000,5.2,189.7,23522,0,5.25,1.93
1.5501,5.490,11.33,0.781,5.2,189.7,17114,0,5.25,1.93
1.6285,25.882,11.33,1.302,15.5,189.7,12665,0,5.25,1.93
1.6598,33.725,11.33,1.693,32.3,189.7,16749,0,5.25,1.93
1.6912,43.529,11.20,1.562,50.3,189.7,23280,0,5.25,1.93
1.7931,69.412,11.33,2.083,99.4,189.7,36589,0,5.25,1.93
1.8479,83.137,12.37,2.734,108.4,189.7,50287,0,5.25,1.93
1.8636,87.059,12.63,2.995,113.5,189.7,54300,0,5.25,1.93
1.8636,88.627,12.11,2.344,99.4,189.7,61682,0,5.25,22.42
1.8636,87.451,12.24,1.953,99.4,189.7,64815,0,5.25,1.93
1.8636,88.235,12.63,2.344,100.6,195.1,60049,0,5.25,22.42
1.8636,88.235,12.11,1.042,90.3,195.1,65021,0,5.25,22.42
1.8636,89.020,11.98,0.911,89.0,195.1,64002,0,5.25,22.42
1.0878,68.627,11.33,0.000,24.5,195.1,0,0,5.25,1.93
1.0878,68.627,11.33,0.000,5.2,195.1,0,0,5.25,1.93
1.0878,68.627,11.33,0.000,5.2,195.1,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,195.1,31951,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,29125,0,5.25,1.93
1.4874,0.392,11.33,0.000,5.2,195.1,24747,0,5.25,1.93
1.7147,48.235,10.81,0.911,43.9,195.1,29084,0,5.25,1.93
1.6363,27.451,11.33,1.302,38.7,195.1,31752,0,5.25,1.93
1.6285,25.098,11.33,1.302,19.4,195.1,24422,0,5.25,1.93
1.6520,31.765,11.33,1.562,29.7,195.1,25553,0,5.25,1.93
1.6833,40.392,11.07,1.302,38.7,195.1,27930,0,5.25,1.93
1.8558,85.882,12.50,2.734,122.6,195.1,50914,0,5.25,1.93
1.8558,86.275,12.50,2.474,108.4,195.1,57674,0,5.25,1.93
1.8636,87.451,12.24,0.911,100.6,195.1,62628,0,5.25,1.93
1.0878,68.627,11.33,0.000,10.3,195.1,0,0,5.25,1.93
1.0878,68.627,11.33,0.000,5.2,195.1,6223,0,5.25,1.93
1.0878,68.627,11.33,0.000,5.2,195.1,0,0,5.25,1.93
1.0878,68.627,11.33,0.000,5.2,195.1,0,0,5.25,1.93
1.0878,68.627,11.33,0.000,5.2,195.1,0,0,5.25,1.93
1.0878,68.627,11.33,0.000,5.2,195.1,0,0,5.25,1.93
1.0878,68.627,11.33,0.000,5.2,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,5.2,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,5.2,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,5.2,195.1,0,0,5.25,22.42
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,5.2,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,5.2,195.1,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,5.2,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4796,0.392,11.33,0.000,6.5,195.1,0,0,5.25,1.93
1.4874,0.392,11.33,0.000,6.5,195.1,0,0,5.25,22.42
1.4874,0.392,11.33,0.000,6.5,195.1,0,0,5.25,22.42
1.6207,23.922,11.33,1.693,29.7,195.1,9590,0,5.25,1.93
1.7147,44.706,10.94,1.302,50.3,195.1,15045,0,5.25,22.42
1.8636,87.451,12.50,2.734,127.7,195.1,56244,0,5.25,22.42
1.8636,87.451,12.24,3.125,109.7,195.1,58167,0,5.25,1.93
1.8558,86.667,12.63,2.734,112.3,195.1,57512,0,5.25,22.42
1.8636,88.235,12.37,1.042,112.3,195.1,60945,0,5.25,22.42
1.8558,86.275,13.67,2.864,107.1,195.1,56400,0,5.25,1.93
1.8558,87.059,11.98,0.651,91.6,195.1,62821,0,5.25,1.93
