Throttle,Power-Out,Voltage,Ripple,Current,Temperature,Speed,Gov.Gain,ECVoltage,MotorTemp.
0.0000,0.000,0.00,0.000,-1.3,24.9,0,0,0.00,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,0.0,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
1.5109,0.392,12.37,0.000,-1.3,90.8,0,0,5.33,0.00
